GEOID,OA_CntEst_n,OA_PctEst_n,OA_CntEst,OA_PctEst,U_TPopEst,test_pct
34005702300,234,15.2,234,0.155,1511,0.15486432825943083
34005702400,459,13.6,459,0.136,3363,0.13648528099910795
34005702500,716,12.2,716,0.119,6036,0.11862160371106693
34005702601,642,12.4,642,0.153,4199,0.15289354608240058
34005702603,257,7,257,0.094,2722,0.0944158706833211
34005702700,1041,11.7,1041,0.119,8759,0.11884918369676904
34005702801,321,14.5,321,0.154,2079,0.1544011544011544
34005702802,737,21.8,737,0.213,3456,0.21325231481481483
34005702803,669,18.7,669,0.175,3833,0.17453691625358728
34005702804,472,12.5,472,0.18,2621,0.18008393742846243
34005702805,570,10.4,570,0.139,4100,0.13902439024390245
34005702806,425,11.7,425,0.122,3485,0.12195121951219512
34005702807,487,11.4,487,0.151,3219,0.15128922025473748
34005702808,496,18.8,496,0.155,3204,0.15480649188514356
34005702809,205,8.9,205,0.11,1859,0.11027434104357181
34005702810,341,27.6,341,0.29,1175,0.29021276595744683
34005702811,575,20,575,0.237,2431,0.2365281777046483
34005702905,708,14.2,708,0.17,4165,0.16998799519807922
34005702906,467,17.7,467,0.223,2097,0.22269909394372914
34005702907,911,32.4,911,0.331,2751,0.3311523082515449
34005702908,1558,26.4,1558,0.382,4080,0.3818627450980392
34005702909,798,13.2,798,0.129,6177,0.12918892666342885
34005702910,647,11.4,647,0.119,5454,0.11862852951961862
34005702913,765,15,765,0.166,4617,0.16569200779727095
34005702914,516,9.8,516,0.116,4462,0.11564320932317347
34005702915,397,9.1,397,0.089,4478,0.08865564984368021
34005702917,266,13.3,266,0.144,1853,0.14355099838100377
34005702918,161,9.5,161,0.094,1715,0.09387755102040816
34005703000,948,13.9,948,0.155,6105,0.15528255528255527
34005703102,356,12,356,0.13,2738,0.13002191380569758
34005703103,427,6.8,427,0.091,4674,0.09135643988018828
34005703104,712,12,712,0.142,5015,0.1419740777666999
34005703201,626,15.8,626,0.167,3752,0.1668443496801706
34005703202,463,16.9,463,0.168,2756,0.16799709724238027
34005703203,2420,59.1,2420,0.632,3828,0.632183908045977
34005703600,1082,15.7,1082,0.156,6945,0.15579553635709142
34005703700,794,12,794,0.122,6488,0.12237977805178792
34005703801,1286,15.8,1286,0.185,6935,0.18543619322278299
34005703802,693,15.7,693,0.17,4088,0.1695205479452055
34005703803,1052,20.8,1052,0.216,4872,0.21592775041050905
34005703804,1100,14,1100,0.148,7420,0.14824797843665768
34005703900,666,15,666,0.163,4081,0.16319529527076698
34005704004,422,10.5,422,0.112,3755,0.11238348868175765
34005704005,766,16,766,0.197,3895,0.19666238767650834
34005704006,366,13.4,366,0.159,2307,0.15864759427828348
34005704007,1042,21.3,1042,0.278,3753,0.277644551025846
34005704008,925,13.6,925,0.173,5361,0.17254243611266554
34005704009,591,10.8,591,0.124,4778,0.12369192130598577
34005704011,430,11.5,430,0.139,3092,0.1390685640362225
34005704012,550,10.3,550,0.102,5370,0.10242085661080075
34005704013,603,10.3,603,0.115,5249,0.11487902457610974
34005704014,1498,15.4,1498,0.187,8018,0.1868296333250187
34005704200,854,8.8,854,0.104,8229,0.10377931704945922
34005704302,702,11.3,702,0.117,5980,0.11739130434782609
34005704500,570,12.3,570,0.134,4243,0.1343389111477728
34005704600,306,11.4,306,0.122,2511,0.12186379928315412
34005704700,565,13.7,565,0.152,3718,0.15196342119419043
34005704801,139,3.5,139,0.04,3438,0.040430482838859805
34005704802,202,3.9,202,0.035,5704,0.03541374474053296
34005981802,4,0,4,0.002,1641,0.002437538086532602
34005982111,0,0,0,0,1195,0
34007600200,172,11.6,172,0.096,1791,0.096035734226689
34007600400,307,9.4,307,0.107,2857,0.10745537276863844
34007600700,145,6.7,145,0.102,1423,0.10189739985945186
34007600800,509,7.8,509,0.1,5105,0.09970617042115573
34007600900,340,6.2,340,0.079,4311,0.07886801206216655
34007601000,343,4.3,343,0.052,6578,0.05214350866524779
34007601101,194,4,194,0.059,3266,0.05939987752602572
34007601102,477,7.9,477,0.081,5892,0.08095723014256619
34007601200,503,8.3,503,0.088,5747,0.08752392552636158
34007601300,460,11.9,460,0.106,4340,0.10599078341013825
34007601400,462,7.3,462,0.102,4527,0.10205434062292909
34007601500,478,9,478,0.082,5808,0.08230027548209366
34007601600,162,6.8,162,0.065,2492,0.06500802568218299
34007601700,283,10,283,0.087,3267,0.08662381389654117
34007601800,113,0.7,113,0.081,1394,0.08106169296987087
34007601900,311,6.3,311,0.102,3046,0.10210111621799081
34007602000,277,3.7,277,0.042,6617,0.041861870938491766
34007602503,495,21.5,495,0.203,2437,0.20311858842839556
34007602601,370,13.6,370,0.136,2730,0.13553113553113552
34007602602,324,9.1,324,0.117,2773,0.11684096646231518
34007602901,972,21.3,972,0.2,4857,0.20012353304508956
34007602902,422,11.2,422,0.133,3183,0.13257932767829092
34007603001,414,9.6,414,0.106,3900,0.10615384615384615
34007603002,565,12,565,0.125,4519,0.125027660986944
34007603100,589,13.5,589,0.156,3771,0.15619199151418722
34007603200,1249,14.9,1249,0.187,6667,0.18734063296835157
34007603301,784,10.2,784,0.154,5088,0.1540880503144654
34007603302,828,12,828,0.126,6583,0.12577852043141424
34007603303,859,23.9,859,0.309,2780,0.30899280575539567
34007603400,1312,13.7,1312,0.179,7322,0.1791860147500683
34007603501,1090,15.8,1090,0.174,6257,0.17420489052261467
34007603503,1021,22,1021,0.229,4462,0.22882115643209322
34007603504,510,17,510,0.191,2670,0.19101123595505617
34007603505,520,12.9,520,0.151,3449,0.15076833864888373
34007603506,1135,20.5,1135,0.183,6214,0.1826520759575153
34007603507,1352,16.8,1352,0.195,6926,0.19520646838001732
34007603601,805,18.9,805,0.219,3671,0.21928629801144103
34007603602,451,16,451,0.18,2507,0.17989629038691662
34007603603,416,17.2,416,0.181,2293,0.1814217182730048
34007603700,453,10.3,453,0.111,4087,0.11083924639099584
34007603800,668,10.6,668,0.126,5305,0.12591894439208295
34007603901,1205,20,1205,0.237,5091,0.23669220192496562
34007603902,613,19.9,613,0.213,2883,0.21262573707943114
34007604100,183,6.1,183,0.062,2955,0.06192893401015229
34007604200,524,12.9,524,0.157,3348,0.15651135005973715
34007604300,661,14.2,661,0.175,3778,0.1749602964531498
34007604400,524,11.3,524,0.15,3493,0.15001431434297166
34007604600,285,13.7,285,0.142,2007,0.14200298953662183
34007604700,253,9.6,253,0.127,1993,0.12694430506773707
34007605100,339,12,339,0.155,2181,0.15543328748280605
34007605200,420,14.2,420,0.152,2761,0.15211879753712423
34007605300,217,9.5,217,0.111,1954,0.11105424769703173
34007605400,370,14.5,370,0.147,2512,0.14729299363057324
34007605602,337,8.1,337,0.119,2840,0.11866197183098591
34007605700,497,12.9,497,0.14,3539,0.14043515117264765
34007605800,495,14.5,495,0.176,2814,0.17590618336886993
34007605900,422,13.3,422,0.157,2680,0.15746268656716417
34007606000,470,19.1,470,0.234,2012,0.23359840954274355
34007606100,283,13.6,283,0.13,2171,0.13035467526485492
34007606200,759,19.5,759,0.195,3890,0.19511568123393316
34007606300,422,12.9,422,0.181,2336,0.18065068493150685
34007606400,547,17.1,547,0.179,3056,0.17899214659685864
34007606500,624,15.7,624,0.213,2923,0.21347930208689703
34007606600,350,14.7,350,0.162,2162,0.16188714153561518
34007606700,752,11.8,752,0.161,4669,0.16106232597986722
34007606800,611,14.4,611,0.164,3729,0.1638508983641727
34007607000,749,13.7,749,0.164,4563,0.1641463949156257
34007607100,507,11.7,507,0.136,3721,0.13625369524321418
34007607200,623,10.7,623,0.133,4673,0.13331906698052642
34007607300,497,7.5,497,0.115,4321,0.1150196713723675
34007607401,472,15.8,472,0.169,2788,0.16929698708751795
34007607402,358,11.6,358,0.139,2574,0.13908313908313907
34007607502,1925,25.7,1925,0.332,5799,0.33195378513536816
34007607503,1155,16.4,1155,0.175,6609,0.17476168860644575
34007607504,468,13.5,468,0.132,3540,0.13220338983050847
34007607505,789,17.7,789,0.159,4972,0.1586886564762671
34007607506,315,9.5,315,0.103,3046,0.10341431385423507
34007607507,1030,17.3,1030,0.192,5363,0.19205668469140408
34007607600,387,16.1,387,0.179,2157,0.17941585535465926
34007607701,601,7.4,601,0.11,5478,0.10971157356699525
34007607702,738,10.4,738,0.192,3838,0.19228764981761334
34007607801,566,8.3,566,0.094,5999,0.09434905817636273
34007607802,320,11.3,320,0.148,2167,0.14766958929395477
34007607900,284,13.8,284,0.146,1950,0.14564102564102563
34007608001,418,12.6,418,0.122,3438,0.12158231529959279
34007608202,586,12.7,586,0.151,3869,0.15146032566554665
34007608205,718,16.5,718,0.17,4214,0.1703844328429046
34007608206,609,14.8,609,0.168,3616,0.16841814159292035
34007608209,572,19.2,572,0.182,3151,0.18152967311964455
34007608210,293,7,293,0.073,4039,0.07254270859123546
34007608211,867,11.8,867,0.148,5869,0.14772533651388653
34007608302,801,14.3,801,0.172,4665,0.17170418006430868
34007608303,347,11.8,347,0.116,2983,0.11632584646329198
34007608304,893,12.5,893,0.133,6715,0.13298585256887566
34007608401,379,9.4,379,0.099,3845,0.09856957087126138
34007608402,590,12.6,590,0.153,3855,0.15304798962386512
34007608403,280,3.9,280,0.04,6989,0.04006295607383031
34007608404,894,12.6,894,0.152,5892,0.15173116089613034
34007608503,251,10.4,251,0.085,2938,0.08543226684819605
34007608504,366,7.5,366,0.111,3298,0.11097634930260764
34007608600,563,9,563,0.114,4924,0.11433793663688059
34007608700,1325,16.3,1325,0.174,7620,0.17388451443569553
34007608800,943,15.4,943,0.174,5411,0.174274625762336
34007608901,761,10.5,761,0.122,6231,0.12213127908842883
34007608903,446,13.2,446,0.14,3184,0.14007537688442212
34007608904,207,14.2,207,0.158,1306,0.1584992343032159
34007609000,391,18,391,0.239,1639,0.23856009762050032
34007609103,737,9.5,737,0.139,5287,0.13939852468318517
34007609201,395,7.7,395,0.088,4495,0.0878754171301446
34007609202,413,5.7,413,0.083,4974,0.08303176517893043
34007609203,991,11.8,991,0.105,9458,0.10477902304927046
34007609204,559,13.1,559,0.146,3822,0.14625850340136054
34007609205,659,8.8,659,0.102,6487,0.10158779096654848
34007610300,360,11.3,360,0.169,2132,0.16885553470919323
34007610400,424,6.8,424,0.078,5412,0.07834441980783444
34007610500,703,9,703,0.098,7209,0.0975169926480788
34007610600,303,20.3,303,0.249,1217,0.24897288414133115
34007610800,612,16.5,612,0.204,3006,0.20359281437125748
34007610900,728,17.9,728,0.217,3362,0.2165377751338489
34007611000,498,7.4,498,0.078,6415,0.07763055339049103
34007611100,726,18.6,726,0.226,3211,0.2260977888508253
34007611200,773,13.4,773,0.173,4478,0.17262170611880304
34007611300,967,18.8,967,0.222,4347,0.2224522659305268
34007611400,456,9.6,456,0.108,4240,0.10754716981132076
34007611500,920,15.4,920,0.188,4894,0.1879852881078872
34007611600,654,13.2,654,0.178,3674,0.17800762112139357
34007611700,369,12,369,0.12,3087,0.119533527696793
34015500100,547,7.6,547,0.129,4233,0.12922277344672808
34015500201,376,13.2,376,0.155,2425,0.1550515463917526
34015500202,684,14.2,684,0.153,4464,0.1532258064516129
34015500203,703,12.2,703,0.152,4632,0.15177029360967184
34015500204,1095,16.8,1095,0.17,6437,0.17011029982911294
34015500205,951,25.7,951,0.273,3485,0.27288378766140603
34015500300,350,11.2,350,0.116,3012,0.11620185922974767
34015500400,676,7,676,0.112,6009,0.11249791978698619
34015500500,918,14.8,918,0.189,4870,0.18850102669404517
34015500600,1305,11.4,1305,0.127,10252,0.12729223566133438
34015500701,1265,13.9,1265,0.163,7751,0.1632047477744807
34015500702,739,12.2,739,0.124,5947,0.12426433495880276
34015500703,210,13.7,210,0.143,1465,0.14334470989761092
34015500800,299,12.7,299,0.138,2163,0.1382339343504392
34015500900,466,12.7,466,0.154,3027,0.15394780310538486
34015501001,206,10,206,0.094,2196,0.09380692167577413
34015501002,741,13.1,741,0.18,4119,0.1798980335032775
34015501003,413,12.9,413,0.111,3709,0.11135076840118631
34015501101,1014,16.6,1014,0.233,4349,0.23315704759714878
34015501102,888,13.1,888,0.133,6701,0.13251753469631397
34015501103,592,10.8,592,0.118,5013,0.11809295830839817
34015501104,631,17.7,631,0.201,3145,0.20063593004769475
34015501105,481,15.9,481,0.158,3049,0.15775664152181043
34015501106,732,15,732,0.187,3912,0.18711656441717792
34015501107,633,9.2,633,0.143,4421,0.14318027595566613
34015501201,828,13.9,828,0.133,6211,0.13331186604411527
34015501202,635,12.9,635,0.136,4661,0.1362368590431238
34015501203,539,14.7,539,0.17,3162,0.17046173308032891
34015501204,667,13.9,667,0.172,3875,0.17212903225806453
34015501205,293,8.2,293,0.103,2855,0.10262697022767076
34015501206,876,16.1,876,0.241,3629,0.24138881234499862
34015501208,993,22.3,993,0.245,4052,0.24506416584402765
34015501209,1062,14.9,1062,0.139,7644,0.1389324960753532
34015501210,422,11.8,422,0.115,3660,0.11530054644808743
34015501212,420,7.2,420,0.112,3750,0.112
34015501213,612,11.5,612,0.127,4802,0.12744689712619742
34015501301,549,12.5,549,0.153,3586,0.15309537088678193
34015501302,314,7.7,314,0.112,2807,0.11186319914499465
34015501303,613,16.9,613,0.243,2523,0.24296472453428458
34015501402,366,8.6,366,0.108,3388,0.10802833530106257
34015501403,679,16.1,679,0.181,3752,0.18097014925373134
34015501404,106,3.2,106,0.034,3097,0.0342266709719083
34015501405,474,8.7,474,0.118,4033,0.11753037441110836
34015501406,688,14.3,688,0.14,4925,0.13969543147208122
34015501500,1088,12.1,1088,0.13,8386,0.12974004292869068
34015501603,1584,20.7,1584,0.248,6386,0.248042593172565
34015501604,872,9.9,872,0.119,7355,0.1185588035350102
34015501605,933,18.5,933,0.197,4731,0.19720989220038046
34015501606,993,13.1,993,0.14,7113,0.13960354280894138
34015501608,782,14.8,782,0.148,5266,0.14849981010254462
34015501609,443,7.4,443,0.075,5916,0.0748816768086545
34015501701,559,7.5,559,0.106,5276,0.10595147839272176
34015501702,370,14.6,370,0.147,2523,0.1466508125247721
34015501703,602,16.6,602,0.141,4265,0.14114888628370456
34015501704,564,12.3,564,0.123,4575,0.12327868852459016
34015501800,249,14.1,249,0.149,1668,0.14928057553956833
34015501900,653,16.2,653,0.158,4134,0.15795839380745041
34015502001,335,4.2,335,0.06,5576,0.06007890961262554
34015502002,917,11.5,917,0.127,7228,0.1268677365799668
34015502100,366,13.7,366,0.114,3203,0.11426787386824852
34015502200,1111,9.2,1111,0.093,11886,0.09347131078579841
34015502300,278,9.2,278,0.107,2606,0.10667689946277821
34015502400,426,8.6,426,0.071,5995,0.07105921601334446
34021000100,307,7.7,307,0.095,3225,0.0951937984496124
34021000200,246,6.9,246,0.065,3796,0.06480505795574289
34021000300,220,2.4,220,0.05,4399,0.050011366219595364
34021000400,271,4,271,0.056,4849,0.0558878119199835
34021000500,160,1.1,160,0.037,4291,0.0372873456070846
34021000600,462,4.1,462,0.095,4846,0.09533635988444078
34021000700,170,1.5,170,0.062,2755,0.06170598911070781
34021000800,194,7.7,194,0.087,2237,0.08672329012069736
34021000900,322,5.4,322,0.097,3317,0.0970756707868556
34021001000,510,18.2,510,0.192,2653,0.19223520542781755
34021001101,389,15.1,389,0.17,2285,0.17024070021881837
34021001102,368,7.5,368,0.101,3644,0.10098792535675083
34021001200,508,9.7,508,0.121,4212,0.12060778727445394
34021001300,514,8.7,514,0.112,4584,0.11212914485165794
34021001401,452,12.1,452,0.111,4058,0.11138491867915229
34021001402,248,9.6,248,0.116,2131,0.11637728765837635
34021001500,303,9,303,0.101,3011,0.100631019594819
34021001600,98,7.3,98,0.081,1206,0.0812603648424544
34021001700,293,4.5,293,0.078,3780,0.07751322751322752
34021001800,476,6,476,0.098,4870,0.09774127310061602
34021001900,115,4.9,115,0.07,1635,0.07033639143730887
34021002000,119,11.3,119,0.104,1142,0.1042031523642732
34021002100,593,10.3,593,0.119,4999,0.11862372474494899
34021002200,472,7.1,472,0.087,5415,0.087165281625115415
34021002400,49,4,49,0.04,1219,0.04019688269073011
34021002500,857,12.6,857,0.14,6115,0.1401471790678659
34021002601,443,11.5,443,0.102,4362,0.10155891792755617
34021002602,622,9.7,622,0.14,4454,0.1396497530309834
34021002701,512,7.1,512,0.12,4262,0.12013139371187236
34021002702,1119,16.9,1119,0.175,6396,0.174953095684803
34021002800,723,10.2,723,0.102,7077,0.10216193302246715
34021002902,523,7.4,523,0.107,4879,0.10719409715105555
34021002903,464,11.8,464,0.153,3041,0.152581387701414
34021002904,738,14.9,738,0.139,5296,0.13935045317220543
34021003001,1154,16.5,1154,0.193,5969,0.19333221645166696
34021003002,980,16.5,980,0.178,5501,0.17814942737684059
34021003003,1463,21.2,1463,0.236,6195,0.23615819209039549
34021003004,1284,19.7,1284,0.247,5201,0.24687560084599117
34021003006,925,11.8,925,0.156,5919,0.15627639804020949
34021003007,404,10,404,0.114,3555,0.11364275668073136
34021003008,1194,18.8,1194,0.22,5438,0.21956601691798455
34021003009,1384,19.9,1384,0.268,5169,0.2677500483652544
34021003100,568,9.9,568,0.126,4511,0.12591443138993572
34021003201,867,10.3,867,0.115,7538,0.1150172459538339
34021003202,1574,23.6,1574,0.277,5687,0.2767715843151046
34021003301,1507,16.2,1507,0.207,7283,0.2069202251819305
34021003302,977,11.9,977,0.119,8204,0.11908824963432472
34021003400,351,13,351,0.139,2531,0.13868036349269064
34021003500,1380,15.9,1380,0.198,6963,0.19819043515725981
34021003601,378,9.9,378,0.1,3797,0.09955227811430076
34021003602,527,13.6,527,0.156,3385,0.15568685376661742
34021003703,709,10.5,709,0.099,7152,0.0991331096196868
34021003704,430,15.5,430,0.161,2671,0.16098839385997754
34021003705,1182,17.6,1182,0.189,6270,0.18851674641148325
34021003706,708,17.1,708,0.201,3514,0.20147979510529312
34021003800,1079,13.7,1079,0.144,7484,0.14417423837520044
34021003902,267,13,267,0.14,1904,0.1402310924369748
34021003903,536,16.2,536,0.209,2567,0.20880405142189326
34021003904,1057,18.7,1057,0.176,6007,0.17596137839187614
34021003905,708,13.3,708,0.143,4949,0.14305920387957163
34021004000,869,12,869,0.162,5355,0.16227824463118581
34021004201,1465,19,1465,0.2,7338,0.1996456800218043
34021004203,651,17.7,651,0.157,4140,0.1572463768115942
34021004204,811,13.7,811,0.146,5547,0.14620515594014782
34021004301,563,5.7,563,0.065,8639,0.0651695798124783
34021004304,1512,19.4,1512,0.189,8004,0.1889055472263868
34021004306,521,7.3,521,0.094,5538,0.09407728421812929
34021004307,759,13.5,759,0.131,5807,0.13070432236955398
34021004309,359,5.7,359,0.079,4550,0.0789010989010989
34021004310,977,5.8,977,0.102,9565,0.10214323052796655
34021004403,736,11.9,736,0.133,5532,0.13304410701373826
34021004404,812,11,812,0.115,7034,0.11543929485356838
34021004405,976,9.6,976,0.122,8011,0.12183248033953314
34021004406,1004,17,1004,0.199,5046,0.19896948077685295
34021004407,787,12.3,787,0.106,7402,0.1063226155093218
34021004501,284,4.4,284,0.043,6567,0.04324653570884727
34021004502,402,30.8,402,0.329,1221,0.32923832923832924
42017100102,529,15.7,529,0.178,2976,0.17775537634408603
42017100103,527,22.2,527,0.22,2395,0.22004175365344467
42017100104,679,10.4,679,0.149,4567,0.14867527917670242
42017100105,523,13.1,523,0.16,3261,0.1603802514566084
42017100201,845,14.3,845,0.187,4512,0.18727836879432624
42017100206,592,8.2,592,0.116,5125,0.11551219512195122
42017100207,1132,26.4,1132,0.266,4249,0.2664156272064015
42017100208,734,12.5,734,0.125,5889,0.12463915775174053
42017100209,921,9.5,921,0.104,8845,0.10412662521198417
42017100210,1084,10.9,1084,0.146,7405,0.1463875759621877
42017100211,1089,12.4,1089,0.15,7251,0.15018618121638394
42017100212,601,14.4,601,0.155,3879,0.15493683939159578
42017100302,531,9.4,531,0.11,4810,0.1103950103950104
42017100303,785,13.3,785,0.155,5053,0.15535325549178705
42017100304,174,9.8,174,0.076,2275,0.07648351648351648
42017100306,472,13.7,472,0.137,3438,0.1372891215823153
42017100307,553,10,553,0.109,5091,0.10862306030249459
42017100401,841,10.7,841,0.135,6208,0.13547036082474226
42017100402,759,10,759,0.103,7404,0.10251215559157212
42017100403,346,12,346,0.149,2318,0.14926660914581535
42017100404,855,11.3,855,0.135,6341,0.13483677653366977
42017100406,764,16.8,764,0.209,3647,0.20948724979435152
42017100407,226,16.9,226,0.21,1075,0.2102325581395349
42017100408,840,11.3,840,0.129,6510,0.12903225806451613
42017100500,503,17.7,503,0.188,2678,0.18782673637042568
42017100600,363,10.8,363,0.1,3639,0.09975267930750206
42017100700,551,15.4,551,0.168,3276,0.1681929181929182
42017100803,727,11.6,727,0.149,4863,0.14949619576393172
42017100804,747,15.2,747,0.19,3928,0.19017311608961304
42017100805,907,12.3,907,0.148,6147,0.14755165121197333
42017100807,1594,32.2,1594,0.38,4193,0.38015740519914143
42017100808,877,16,877,0.172,5088,0.17236635220125787
42017100809,824,12.4,824,0.154,5353,0.15393237436951243
42017100811,342,6.1,342,0.074,4592,0.0744773519163763
42017100900,1060,14,1060,0.133,7979,0.13284872791076577
42017101100,255,8.3,255,0.09,2823,0.09032943676939426
42017101401,724,15.8,724,0.165,4381,0.16525907327094272
42017101403,822,16,822,0.147,5585,0.14717994628469114
42017101404,497,20.7,497,0.211,2358,0.2107718405428329
42017101405,868,13.5,868,0.13,6698,0.12959092266348163
42017101503,867,22,867,0.232,3731,0.23237737871884212
42017101504,968,32.6,968,0.35,2769,0.3495846876128566
42017101505,939,28.9,939,0.286,3278,0.28645515558267237
42017101506,1065,18.7,1065,0.199,5354,0.19891669779604035
42017101603,499,12.6,499,0.143,3494,0.14281625643961077
42017101605,486,8.5,486,0.115,4222,0.11511132164850782
42017101607,1112,28.7,1112,0.356,3124,0.3559539052496799
42017101609,903,18.6,903,0.206,4373,0.2064943974388292
42017101610,1064,19.2,1064,0.224,4756,0.223717409587889
42017101611,1825,24,1825,0.264,6901,0.2644544268946529
42017101802,638,10,638,0.098,6526,0.09776279497395035
42017101803,1629,18.6,1629,0.196,8308,0.19607607125662013
42017101805,241,9.1,241,0.112,2155,0.11183294663573086
42017101807,495,12.4,495,0.117,4218,0.11735419630156473
42017101808,472,14.1,472,0.184,2572,0.18351477449455678
42017101900,476,9.5,476,0.117,4054,0.11741489886531821
42017102002,498,17.9,498,0.187,2669,0.1865867366054702
42017102003,505,13.3,505,0.129,3911,0.12912298644847864
42017102004,801,12.6,801,0.175,4578,0.17496723460026212
42017102102,588,17.6,588,0.174,3386,0.17365623154164206
42017102104,1047,16.1,1047,0.189,5538,0.18905742145178764
42017102300,753,11.5,753,0.131,5728,0.1314594972067039
42017102401,587,15.3,587,0.152,3852,0.1523883696780893
42017102402,567,9.6,567,0.122,4643,0.12211931940555676
42017102500,447,10.2,447,0.106,4226,0.10577378135352579
42017102600,548,15.8,548,0.248,2211,0.24785165083672547
42017102700,1517,27.3,1517,0.288,5264,0.2881838905775076
42017102801,552,17.5,552,0.159,3472,0.15898617511520738
42017103101,274,8.5,274,0.114,2397,0.11430955360867752
42017103102,258,10.9,258,0.132,1956,0.13190184049079753
42017103103,951,13.7,951,0.211,4516,0.21058458813108946
42017103300,433,21.5,433,0.209,2069,0.20927984533591107
42017103400,998,18.8,998,0.198,5038,0.1980944819372767
42017103700,607,18.2,607,0.178,3415,0.17774524158125915
42017103800,265,20.5,265,0.217,1223,0.21668029435813574
42017103900,954,22.8,954,0.24,3969,0.24036281179138322
42017104000,1045,14.3,1045,0.15,6967,0.14999282330988947
42017104100,216,5.1,216,0.102,2121,0.10183875530410184
42017104201,427,14,427,0.144,2973,0.1436259670366633
42017104203,638,12.1,638,0.117,5430,0.11749539594843462
42017104204,313,6.1,313,0.066,4764,0.06570109151973132
42017104301,604,27.1,604,0.23,2624,0.2301829268292683
42017104303,906,16.2,906,0.191,4748,0.19081718618365628
42017104304,249,20.3,249,0.196,1272,0.1957547169811321
42017104400,406,17.8,406,0.17,2385,0.17023060796645703
42017104502,1563,19.2,1563,0.197,7922,0.19729866195405202
42017104503,667,16,667,0.156,4277,0.15595043254617721
42017104505,583,10.6,583,0.101,5795,0.1006039689387403
42017104506,413,16.6,413,0.177,2334,0.17694944301628107
42017104601,1042,23.5,1042,0.232,4483,0.2324336381887129
42017104603,1494,13.5,1494,0.198,7529,0.19843272678974633
42017104604,1116,19.5,1116,0.201,5566,0.20050305425799497
42017104701,1151,20.5,1151,0.345,3341,0.34450763244537563
42017104702,662,19.6,662,0.251,2639,0.25085259568018187
42017104703,652,24.6,652,0.28,2325,0.28043010752688174
42017104800,333,9.8,333,0.11,3025,0.11008264462809918
42017104901,749,7.5,749,0.1,7493,0.09995996263178968
42017104902,1414,20.9,1414,0.198,7149,0.19778990068541055
